Name,Established,Location,Latitude,Longitude,Altitude
Adolphson Observatory,2013,"Monmouth, Illinois, USA",40.911427,-90.647358,234
Aker Observatory,1995,"Safford, Arizona, USA",32.833955,-109.70758,889
Allegheny Observatory,1859,"Pittsburgh, Pennsylvania, USA",40.440625,-79.995886,233
AMiBA,2006,"Mauna Loa, Hawaii, USA",19.472139,-155.592207,3985
Anderson Mesa Station,1959,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Angell Hall Observatory,1927,"Ann Arbor, Michigan, USA",42.280826,-83.743038,264
Apache-Sitgreaves Observatory,2005,"Overgaard, Arizona, USA",34.390576,-110.552514,2009
Apache Point Observatory,1984,"Sunspot, New Mexico, USA",32.789789,-105.819785,2806
Apollo Observatory,1969,"Dayton, Ohio, USA",39.758948,-84.191607,226
Ashton Observatory,1983,"Baxter, Iowa, USA",41.8261,-93.15159,307
Badlands Observatory,2000,"Quinn, South Dakota, USA",43.988045,-102.126267,797
Baker Observatory,1980,"Marshfield, Missouri, USA",37.338658,-92.907121,456
Ball State University Observatory,,"Muncie, Indiana, USA",40.193377,-85.38636,290
Barnard Observatory (defunct),1859,"Oxford, Mississippi, USA",34.366495,-89.519248,156
Behlen Observatory,1972,"Mead, Nebraska, USA",41.228649,-96.489212,367
Burrell Memorial Observatory,1940,"Berea, Ohio, USA",41.366161,-81.854303,230
Big Bear Lake Solar Observatory,1969,"Big Bear City, California, USA",34.261118,-116.84503,2068
Black Moshannon Observatory (defunct),1972,"Pennsylvania, USA",41.203322,-77.194525,177
Blue Mesa Observatory (defunct),1967,"New Mexico, USA",34.51994,-105.87009,1918
Boswell Observatory (defunct),1883,"Crete, Nebraska, USA",40.625217,-96.961514,412
Bowman Observatory,1940,"Greenwich, Connecticut, USA",41.026242,-73.628196,27
Bradstreet Observatory,1996,"St. Davids, Pennsylvania, USA",40.040943,-75.378523,109
Bradley Observatory,1950,"Decatur, Georgia, USA",35.198284,-111.651302,2104
Braeside Observatory (defunct),1976,"Flagstaff, Arizona, USA",33.774828,-84.296312,318
Brooks Observatory,,"Toledo, Ohio, USA",41.652805,-83.537867,179
Brooks Astronomical Observatory,1964,"Mount Pleasant, Michigan, USA",43.597807,-84.767514,235
Bucknell Observatory,,"Lewisburg, Pennsylvania, USA",40.964529,-76.88441,143
Caltech Submillimeter Observatory,,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
Capilla Peak Observatory,,"Albuquerque, New Mexico, USA",35.084386,-106.650422,1510
Celestial Observatory,,"Russellville, Arkansas, USA",35.278417,-93.133786,104
Centennial Observatory,2004,"Twin Falls, Idaho, USA",42.555838,-114.470052,1140
Chabot Space & Science Center,1883,"Oakland, California, USA",37.804364,-122.271114,13
Chamberlin Observatory,1890,"Denver, Colorado, USA",39.739236,-104.990251,1597
Chico Community Observatory,,"Chico, California, USA",39.728494,-121.837478,62
Cincinnati Observatory,1843,"Cincinnati, Ohio, USA",39.103118,-84.51202,168
Clarke Observatory,1897,"Dunkirk, New York, USA",42.479502,-79.333932,188
Clarke Observatory,1923,"Alliance, Ohio, USA",40.915336,-81.105931,353
Class of 1951 Observatory,1997,"Poughkeepsie, New York, USA",41.700371,-73.92097,60
Cloudcroft Observatory (defunct),1962,"New Mexico, USA",34.51994,-105.87009,1918
Coit Observatory,1940,"Boston, Massachusetts, USA",42.360083,-71.05888,10
Collins Observatory,2003,"Corning, New York, USA",42.142852,-77.05469,285
Concordia College Observatory,1891,"Moorhead, Minnesota, USA",46.873765,-96.767804,276
Cordell–Lorenz Observatory,1897,"Sewanee, Tennessee, USA",35.203137,-85.92109,588
Crane Observatory,,"Topeka, Kansas, USA",39.047345,-95.675158,289
Creighton University Observatory (defunct),1886,"Omaha, Nebraska, USA",41.256537,-95.934503,316
Cupillari Observatory,,"La Plume, Pennsylvania, USA",41.556717,-75.755271,269
Custer Observatory,1927,"Southold, New York, USA",41.080197,-72.473153,-15
Daniel S. Schanck Observatory (defunct),1865,"Rutgers University, New Brunswick, New Jersey, USA",40.500819,-74.447399,15
Daniel Scholl Observatory (defunct),1886,"Lancaster, Pennsylvania, USA",40.037876,-76.305514,109
Dark Sky Observatory,1981,"Phillips Gap, Wilkes County, North Carolina, USA",36.264296,-81.4351,979
Darling's Observatory (defunct),1917,"Duluth, Minnesota, USA",46.786672,-92.100485,201
Dearborn Observatory,1889,"Evanston, Illinois, USA",42.045072,-87.687697,184
Detroit Observatory,1854,"Ann Arbor, Michigan, USA",42.280826,-83.743038,264
Dyer Observatory,1953,"Brentwood, Tennessee, USA",36.033116,-86.782777,226
Ellis Observatory,2004,"Sterling Hill Mining Museum, Ogdensburg, New Jersey, USA",41.082811,-74.604351,183
Embry-Riddle Observatory,2005,"Daytona Beach, Florida, USA",29.210815,-81.022833,4
Fan Mountain Observatory,1966,"Albemarle County, Virginia, USA",38.056709,-78.6115,203
Fernbank Observatory,,"Atlanta, Georgia, USA",33.748995,-84.387982,320
Fick Observatory,1966,"Boone, Iowa, USA",42.059705,-93.880227,346
Five College Radio Astronomy Observatory (defunct),1976,"New Salem, Massachusetts, USA",42.504255,-72.332029,314
Foggy Bottom Observatory,1951,"Hamilton, New York, USA",42.808351,-75.504376,462
Foothill Observatory,,"Los Altos Hills, California, USA",37.379663,-122.137464,88
Ford Observatory,1998,"Ithaca, New York, USA",42.443961,-76.501881,120
Fox Observatory,,"Sunrise, Florida, USA",26.166971,-80.256595,2
Fox Park Public Observatory,1999,"Potterville, Michigan, USA",42.629203,-84.738874,274
Francis Marion University Observatory,1982,"Florence, South Carolina, USA",34.195433,-79.762562,42
Fred Lawrence Whipple Observatory,1968,"Mount Hopkins, Arizona, USA",31.688422,-110.885365,2577
Fremont Peak Observatory,1986,"San Juan Bautista, California, USA",36.845511,-121.537997,66
Frosty Drew Observatory,1980,"Charlestown, Rhode Island, USA",41.383216,-71.641874,5
Fuertes Observatory,1917,"Ithaca, New York, USA",42.443961,-76.501881,120
