Name,City,State,Latitude,Longitude,Altitude
Christenberry Planetarium Birmingham,Birmingham,Alabama,33.520661,-86.80249,186
W.A. Gayle Planetarium,Montgomery,Alabama,32.366805,-86.299969,73
Wernher von Braun Planetarium,Huntsville,Alabama,34.730369,-86.586104,195
Marie Drake Planetarium,Juneau,Alaska,58.301944,-134.419722,10
Thomas Planetarium,Anchorage,Alaska,61.218056,-149.900278,33
Arizona State University Planetarium,Tempe,Arizona,33.42551,-111.940005,354
Dorrance Planetarium,Phoenix,Arizona,33.448377,-112.074037,332
Flandrau Science Center and Planetarium,Tucson,Arizona,32.222607,-110.974711,725
Ask Jeeves Planetarium,Oakland,California,37.804364,-122.271114,13
Cabrillo Planetarium,Aptos,California,36.977173,-121.899402,32
CCSF Planetarium,San Francisco,California,37.77493,-122.419416,16
Charles F. Hagar Planetarium,San Francisco,California,37.77493,-122.419416,16
Coastal Planetarium,San Luis Obispo,California,35.282752,-120.659616,69
College of San Mateo Planetarium,San Mateo,California,37.562992,-122.325525,14
Diablo Valley College Planetarium,Pleasant Hill,California,37.947979,-122.060796,17
Discovery Museum Science & Space Center,Sacramento,California,38.581572,-121.4944,8
Donald E. Bianchi Planetarium,Northridge,California,34.238125,-118.530123,264
Downing Planetarium,Fresno,California,36.737798,-119.787125,90
El Camino College Planetarium,Torrance,California,33.835849,-118.340629,26
Fujitsu Planetarium,Cupertino,California,37.322998,-122.032182,72
George F. Beattie Planetarium,San Bernardino,California,34.108345,-117.289765,320
Gladwin Planetarium,Santa Barbara,California,34.420831,-119.69819,12
Great Valley Museum Planetarium,Modesto,California,37.639097,-120.996878,29
Harbor College Planetarium,Wilmington,California,33.785795,-118.264357,12
Holt Planetarium,Berkeley,California,37.871593,-122.272747,52
J. Frederick Ching Planetarium,Salinas,California,36.677737,-121.655501,16
John Drescher Planetarium,Santa Monica,California,34.019454,-118.491191,32
Los Medanos College Planetarium,Pittsburg,California,38.027976,-121.884681,8
Modesto Junior College Planetarium,Modesto,California,37.639097,-120.996878,29
Morrison Planetarium,San Francisco,California,37.77493,-122.419416,16
Mt SAC-Randall Planetarium,Walnut,California,34.020289,-117.865339,174
Orange Coast College Planetarium,Costa Mesa,California,33.641216,-117.918822,30
Palomar College Planetarium,San Marcos,California,33.143372,-117.166145,177
Pasadena City College Planetarium,Pasadena,California,34.147785,-118.144516,263
RCC Planetarium,Riverside,California,33.980601,-117.375494,259
Reuben Fleet Science Center,San Diego,California,32.715738,-117.161084,15
Rosicrucian Egyption Museum & Planetarium,San Jose,California,37.338208,-121.886329,25
Roth Planetarium,Chico,California,39.728494,-121.837478,62
Samuel Oschin Planetarium,Los Angeles,California,34.052234,-118.243685,87
Schreder Planetarium,Redding,California,40.58654,-122.391675,171
Sierra College Planetarium,Rocklin,California,38.790734,-121.235783,75
Southwestern College Planetarium, Chula Vista,California,32.640054,-117.084196,20
SRJC Planetarium,Santa Rosa,California,38.440429,-122.714055,50
Tessmann Planetarium,Santa Ana,California,33.745473,-117.867653,34
U.C.L.A. Planetarium,Los Angeles,California,34.052234,-118.243685,87
University of Redlands Planetarium,Redlands,California,34.055569,-117.182538,414
Victor Valley College Planetarium,Victorville,California,34.536218,-117.292764,829
West Valley College Planetarium,Saratoga,California,37.263832,-122.023015,129
William M Thomas Planetarium,Bakersfield,California,35.373292,-119.018712,123
Christa McAuliffe Planetarium,Pueblo,Colorado,38.254447,-104.609141,1425
Fiske Planetarium and Science Center,Boulder,Colorado,40.014986,-105.270546,1624
Fort Lupton High School Planetarium,Fort Lupton,Colorado,40.084706,-104.813027,1495
Gates Planetarium,Denver,Colorado,39.739236,-104.990251,1597
Steele Planetarium,Denver,Colorado,39.739236,-104.990251,1597
Zacheis Planetarium,Alamosa,Colorado,37.469449,-105.870021,2299
Leitner Family Planetarium,New Haven,Connecticut,41.308274,-72.927883,12
New Canaan High School Planetarium,New Canaan,Connecticut,41.146763,-73.494844,94
Travelers ScienceDome Planetarium,West Hartford,Connecticut,41.762084,-72.742015,39
Treworgy Planetarium,Mystic,Connecticut,41.354266,-71.966462,3
UConn Planetarium,Storrs,Connecticut,41.808431,-72.249523,182
Wickware Planetarium,Willimantic,Connecticut,41.710654,-72.208134,69
Albert Einstein Planetarium,Washington,DC,38.907192,-77.036871,22
Rock Creek Nature Center & Planetarium,Washington,DC,38.907192,-77.036871,22
Ralph Hazelton Planetarium,Dover,Delaware,39.158168,-75.524368,9
Starwalk Planetarium,New Castle,Delaware,39.66204,-75.566817,3
Astronauts Memorial Planetarium,Kennedy Space Center,Florida,28.572872,-80.648981,3
Bishop Planetarium,Bradenton,Florida,27.498928,-82.574819,1
Bryan-Gooding Planetarium,Jacksonville,Florida,30.332184,-81.655651,5
Buehler Planetarium,Davie,Florida,26.076478,-80.252116,2
Calusa Nature Center & Planetarium,Fort Myers,Florida,26.640628,-81.872308,3
Challenger Digital Dome Planetarium,Tallahasee,Florida,30.438256,-84.280733,62
Dr. Phillips Cinedome,Orlando,Florida,28.538336,-81.379236,31
EFSC Planetarium,Cocoa,Florida,28.386116,-80.741998,11
Emil Buehler Planetarium,Sanford,Florida,28.802861,-81.269453,11
Frost Museum of Science & Planetarium,Miami,Florida,25.76168,-80.19179,1
Hallstrom Planetarium,Fort Pierce,Florida,27.446706,-80.325606,5
Kika Silva Planetarium,Gainesville,Florida,29.651634,-82.324826,55
Marvin Dekelboum Planetarium,West Palm Beach,Florida,26.715342,-80.053375,4
Navigators Planetarium,St. Augustine,Florida,29.901244,-81.312434,2
Pat Thomas Planetarium,Tallahassee,Florida,30.438256,-84.280733,62
Riverview High School Planetarium,Sarasota,Florida,27.336435,-82.530653,6
Space Place Planetarium,Miami,Florida,25.76168,-80.19179,1
St. Petersburg College Planetarium,Clearwater,Florida,27.965853,-82.800103,10
The Saunders Planetarium,Tampa,Florida,27.950575,-82.457178,6
Camp Sunrise Planetarium,Fairmount,Georgia,34.436201,-84.699935,228
George E. Coleman Planetarium,Dahlonega,Georgia,34.526147,-83.984395,451
Georgia Southern College Planetarium,Statesboro,Georgia,32.448788,-81.783167,78
Jim Cherry Planetarium,Atlanta,Georgia,33.748995,-84.387982,320
Mark Smith Planetarium,Macon,Georgia,32.840695,-83.632402,113
Omnisphere Theater,Columbus,Georgia,32.460976,-84.987709,73
Patterson Planetarium,Columbus,Georgia,32.460976,-84.987709,73
Rollins Planetarium,Young Harris,Georgia,34.933145,-83.847122,587
Tellus Planetarium,Cartersville,Georgia,34.165097,-84.799938,236
VSU Planetarium,Valdosta,Georgia,30.832702,-83.278485,69
Wetherbee Planetarium,Albany,Georgia,31.578507,-84.155741,63
Imiloa Astronomy Center,Hilo,Hawaii,19.724111,-155.086819,6
J. Watumull Planetarium,Honolulu,Hawaii,21.306944,-157.858333,5
Faulkner Planetarium,Twin Falls,Idaho,42.555838,-114.470052,1140
Whittenberger Planetarium,Caldwell,Idaho,43.662938,-116.68736,722
Adler Planetarium,Chicago,Illinois,41.878114,-87.629798,182
Herbert Trackman Planetarium,Joliet,Illinois,41.525031,-88.081725,165
Illinois State Univ Planetarium,Normal,Illinois,40.514203,-88.990631,246
John Deere Planetarium,Rock Island,Illinois,41.509477,-90.578748,173
Strickler Planetarium,Bourbonnais,Illinois,41.176011,-87.879523,213
William M. Staerkel Planetarium,Champaign,Illinois,40.11642,-88.243383,224
WVHS Planetarium,Aurora,Illinois,41.760585,-88.320072,206
Allen Memorial Planetarium,Terre Haute,Indiana,39.466703,-87.413909,153
Carmel High School Planetarium,Carmel,Indiana,39.978371,-86.118043,260
Charles W. Brown Planetarium,Muncie,Indiana,40.193377,-85.38636,290
E. C. Schouweiler Planetarium,Fort Wayne,Indiana,41.079273,-85.139351,234
Koch Immersive Theater,Evansville,Indiana,37.971559,-87.57109,118
L. S. Knoblitt Planetarium,Columbus,Indiana,39.20144,-85.92138,192
Marion High School Planetarium,Marion,Indiana,40.558374,-85.659144,248
Merrillville Community Planetarium,Merrillville,Indiana,41.482814,-87.332814,200
P-H-M Planetarium,Mishawaka,Indiana,41.661993,-86.158616,220
Pike Planetarium,Indianapolis,Indiana,39.768403,-86.158068,223
