State,Fips,County,Insufficient Sleep,CI - Low,CI - High,
Washington,53001,Adams,32,31,33,
,53003,Asotin,31,30,32,
,53005,Benton,30,29,31,
,53007,Chelan,28,27,28,
,53009,Clallam,28,27,28,
,53011,Clark,32,31,33,
,53013,Columbia,28,27,29,
,53015,Cowlitz,29,29,30,
,53017,Douglas,30,29,31,
,53019,Ferry,31,30,32,
,53021,Franklin,34,33,34,
,53023,Garfield,28,27,29,
,53025,Grant,29,28,29,
,53027,Grays Harbor,34,33,34,
,53029,Island,29,28,29,
,53031,Jefferson,28,27,29,
,53033,King,29,29,30,
,53035,Kitsap,31,30,32,
,53037,Kittitas,31,30,32,
,53039,Klickitat,30,29,31,
,53041,Lewis,29,28,30,
,53043,Lincoln,28,27,29,
,53045,Mason,33,32,34,
,53047,Okanogan,31,30,32,
,53049,Pacific,33,31,34,
,53051,Pend Oreille,29,28,30,
,53053,Pierce,35,35,36,
,53055,San Juan,24,23,25,
,53057,Skagit,32,31,33,
,53059,Skamania,31,30,32,
,53061,Snohomish,33,32,33,
,53063,Spokane,30,30,31,
,53065,Stevens,30,29,31,
,53067,Thurston,29,29,30,
,53069,Wahkiakum,28,27,29,
,53071,Walla Walla,28,28,29,
,53073,Whatcom,24,24,25,
,53075,Whitman,31,30,33,
,53077,Yakima,33,32,33,
Oregon,41001,Baker,29,28,30,
,41003,Benton,30,29,31,
,41005,Clackamas,29,28,29,
,41007,Clatsop,29,28,30,
,41009,Columbia,30,29,31,
,41011,Coos,32,31,33,
,41013,Crook,31,30,32,
,41015,Curry,28,27,29,
,41017,Deschutes,29,28,30,
,41019,Douglas,30,29,31,
,41021,Gilliam,28,27,29,
,41023,Grant,29,28,30,
,41025,Harney,30,29,31,
,41027,Hood River,29,28,30,
,41029,Jackson,30,29,31,
,41031,Jefferson,32,31,33,
,41033,Josephine,29,29,30,
,41035,Klamath,33,32,34,
,41037,Lake,32,31,33,
,41039,Lane,30,29,30,
,41041,Lincoln,30,29,31,
,41043,Linn,32,31,33,
,41045,Malheur,31,30,32,
,41047,Marion,30,29,31,
,41049,Morrow,32,31,32,
,41051,Multnomah,28,28,29,
,41053,Polk,30,29,30,
,41055,Sherman,29,28,30,
,41057,Tillamook,31,30,32,
,41059,Umatilla,33,32,34,
,41061,Union,29,28,30,
,41063,Wallowa,29,28,30,
,41065,Wasco,30,29,31,
,41067,Washington,31,31,32,
,41069,Wheeler,28,27,29,
,41071,Yamhill,32,31,33,
California,06001,Alameda,32,32,33,
