,Insufficient Sleep,CI - Low,CI - High,
Washington,32,30,33,
Oregon,31,30,33,
California,34,32,35,
Idaho,30,29,32,
Nevada,36,34,39,
Montana,30,29,32,
Wyoming,31,29,33,
Utah,31,30,32,
Arizona,33,31,34,
Colorado,29,28,30,
New Mexico,32,30,33,
North Dakota,31,29,33,
South Dakota,28,26,30,
Nebraska,30,29,31,
Kansas,31,30,31,
Oklahoma,35,34,37,
Texas,33,32,35,
Minnesota,29,28,30,
Lowa,30,29,32,
Missouri,33,31,35,
Arkansas,36,34,39,
Louisiana,36,34,37,
Wisconsin,31,30,33,
Illinois,34,32,36,
Michigan,38,36,39,
Indiana,38,37,39,
Ohio,37,36,39,
Kentucky,39,37,41,
Tennessee,37,35,39,
Mississippi,36,34,39,
Alabama,38,37,40,
Georgia,39,37,41,
Florida,35,34,36,
Maine,32,31,34,
New Hampshire,32,30,34,
Vermont,30,29,32,
Massachusetts,34,33,35,
Connecticut,35,33,36,
Rhode Island,36,34,38,
New York,38,37,40,
Pennsylvania,37,36,38,
West Virginia,37,36,39,
Maryland,39,37,40,
Delaware,37,35,40,
New Jersey,37,36,38,
Virgina,36,35,37,
North Carolina,32,31,34,
South Carolina,38,36,39,
Alaska,32,29,35,
Hawaii,44,42,46,
