1,GeoID,County,State,InsufficientSleep,CI - Low,CI - High,
Washington,53001,Adams,Washington,32,31,33,
Washington,53003,Asotin,Washington,31,30,32,
Washington,53005,Benton,Washington,30,29,31,
Washington,53007,Chelan,Washington,28,27,28,
Washington,53009,Clallam,Washington,28,27,28,
Washington,53011,Clark,Washington,32,31,33,
Washington,53013,Columbia,Washington,28,27,29,
Washington,53015,Cowlitz,Washington,29,29,30,
Washington,53017,Douglas,Washington,30,29,31,
Washington,53019,Ferry,Washington,31,30,32,
Washington,53021,Franklin,Washington,34,33,34,
Washington,53023,Garfield,Washington,28,27,29,
Washington,53025,Grant,Washington,29,28,29,
Washington,53027,Grays Harbor,Washington,34,33,34,
Washington,53029,Island,Washington,29,28,29,
Washington,53031,Jefferson,Washington,28,27,29,
Washington,53033,King,Washington,29,29,30,
Washington,53035,Kitsap,Washington,31,30,32,
Washington,53037,Kittitas,Washington,31,30,32,
Washington,53039,Klickitat,Washington,30,29,31,
Washington,53041,Lewis,Washington,29,28,30,
Washington,53043,Lincoln,Washington,28,27,29,
Washington,53045,Mason,Washington,33,32,34,
Washington,53047,Okanogan,Washington,31,30,32,
Washington,53049,Pacific,Washington,33,31,34,
Washington,53051,Pend Oreille,Washington,29,28,30,
Washington,53053,Pierce,Washington,35,35,36,
Washington,53055,San Juan,Washington,24,23,25,
Washington,53057,Skagit,Washington,32,31,33,
Washington,53059,Skamania,Washington,31,30,32,
Washington,53061,Snohomish,Washington,33,32,33,
Washington,53063,Spokane,Washington,30,30,31,
Washington,53065,Stevens,Washington,30,29,31,
Washington,53067,Thurston,Washington,29,29,30,
Washington,53069,Wahkiakum,Washington,28,27,29,
Washington,53071,Walla Walla,Washington,28,28,29,
Washington,53073,Whatcom,Washington,24,24,25,
Washington,53075,Whitman,Washington,31,30,33,
Washington,53077,Yakima,Washington,33,32,33,
Washington,41001,Baker,Washington,29,28,30,
Washington,41003,Benton,Washington,30,29,31,
Washington,41005,Clackamas,Washington,29,28,29,
Washington,41007,Clatsop,Washington,29,28,30,
Washington,41009,Columbia,Washington,30,29,31,
Washington,41011,Coos,Washington,32,31,33,
Washington,41013,Crook,Washington,31,30,32,
Washington,41015,Curry,Washington,28,27,29,
Washington,41017,Deschutes,Washington,29,28,30,
Washington,41019,Douglas,Washington,30,29,31,
Washington,41021,Gilliam,Washington,28,27,29,
Washington,41023,Grant,Washington,29,28,30,
Washington,41025,Harney,Washington,30,29,31,
Washington,41027,Hood River,Washington,29,28,30,
Washington,41029,Jackson,Washington,30,29,31,
Washington,41031,Jefferson,Washington,32,31,33,
Washington,41033,Josephine,Washington,29,29,30,
Washington,41035,Klamath,Washington,33,32,34,
Washington,41037,Lake,Washington,32,31,33,
Washington,41039,Lane,Washington,30,29,30,
Washington,41041,Lincoln,Washington,30,29,31,
Washington,41043,Linn,Washington,32,31,33,
Washington,41045,Malheur,Washington,31,30,32,
Washington,41047,Marion,Washington,30,29,31,
Washington,41049,Morrow,Washington,32,31,32,
Washington,41051,Multnomah,Washington,28,28,29,
Washington,41053,Polk,Washington,30,29,30,
Washington,41055,Sherman,Washington,29,28,30,
Washington,41057,Tillamook,Washington,31,30,32,
Washington,41059,Umatilla,Washington,33,32,34,
Washington,41061,Union,Washington,29,28,30,
Washington,41063,Wallowa,Washington,29,28,30,
Washington,41065,Wasco,Washington,30,29,31,
Washington,41067,Washington,Washington,31,31,32,
Washington,41069,Wheeler,Washington,28,27,29,
Washington,41071,Yamhill,Washington,32,31,33,
California,6001,Alameda,California,32,32,33,
California,6003,Alpine,California,31,30,31,
California,6005,Amador,California,28,27,29,
California,6007,Butte,California,32,31,33,
California,6009,Calaveras,California,28,27,28,
California,6011,Colusa,California,32,31,33,
California,6013,Contra Costa,California,34,33,35,
California,6015,Del Norte,California,32,31,33,
California,6017,El Dorado,California,30,29,31,
California,6019,Fresno,California,30,30,31,
California,6021,Glenn,California,32,31,33,
California,6023,Humboldt,California,31,31,32,
California,6025,Imperial,California,34,33,35,
California,6027,Inyo,California,30,29,31,
California,6029,Kern,California,34,34,35,
California,6031,Kings,California,35,35,36,
California,6033,Lake,California,33,32,34,
California,6035,Lassen,California,32,31,33,
California,6037,Los Angeles,California,35,35,36,
California,6039,Madera,California,32,31,33,
California,6041,Marin,California,30,29,31,
California,6043,Mariposa,California,28,27,29,
California,6045,Mendocino,California,30,30,31,
California,6047,Merced,California,34,33,34,
California,6049,Modoc,California,31,30,32,
California,6051,Mono,California,30,29,31,
California,6053,Monterey,California,32,31,33,
California,6055,Napa,California,28,27,29,
California,6057,Nevada,California,29,28,30,
California,6059,Orange,California,31,30,31,
California,6061,Placer,California,29,28,30,
California,6063,Plumas,California,29,28,30,
California,6065,Riverside,California,36,36,37,
California,6067,Sacramento,California,32,31,32,
California,6069,San Benito,California,31,31,32,
California,6071,San Bernardino,California,36,35,37,
California,6073,San Diego,California,34,33,34,
California,6075,San Francisco,California,32,32,33,
California,6077,San Joaquin,California,35,34,35,
California,6079,San Luis Obispo,California,30,29,30,
California,6081,San Mateo,California,30,30,31,
California,6083,Santa Barbara,California,31,30,31,
California,6085,Santa Clara,California,32,31,32,
California,6087,Santa Cruz,California,29,28,30,
California,6089,Shasta,California,31,30,32,
California,6091,Sierra,California,29,28,30,
California,6093,Siskiyou,California,31,30,32,
California,6095,Solano,California,33,32,33,
California,6097,Sonoma,California,28,27,29,
California,6099,Stanislaus,California,33,33,34,
California,6101,Sutter,California,32,31,32,
California,6103,Tehama,California,32,31,33,
California,6105,Trinity,California,30,29,31,
California,6107,Tulare,California,33,32,34,
California,6109,Tuolumne,California,29,28,30,
California,6111,Ventura,California,27,27,28,
California,6113,Yolo,California,32,31,33,
California,6115,Yuba,California,32,32,33,
Idaho,16001,Ada,Idaho,28,27,29,
Idaho,16003,Adams,Idaho,32,31,33,
Idaho,16005,Bannock,Idaho,32,31,33,
Idaho,16007,Bear Lake,Idaho,30,29,31,
Idaho,16009,Benewah,Idaho,30,29,31,
Idaho,16011,Bingham,Idaho,34,33,35,
Idaho,16013,Blaine,Idaho,27,27,28,
Idaho,16015,Boise,Idaho,31,29,32,
Idaho,16017,Bonner,Idaho,29,28,30,
Idaho,16019,Bonneville,Idaho,33,32,34,
Idaho,16021,Boundary,Idaho,29,28,30,
Idaho,16023,Butte,Idaho,29,28,30,
Idaho,16025,Camas,Idaho,32,31,33,
Idaho,16027,Canyon,Idaho,33,32,34,
Idaho,16029,Caribou,Idaho,29,28,30,
Idaho,16031,Cassia,Idaho,30,29,31,
Idaho,16033,Clark,Idaho,35,34,36,
Idaho,16035,Clearwater,Idaho,31,30,32,
Idaho,16037,Custer,Idaho,32,31,34,
